ID,logFC,t,Rank_FC,Rank_t,Normed_FC,Normed_t
TRP53,3.9382032671815375,5.995619911799968,0.99861581051984,1,90.53536840772011,100
WRNIP1,1.6177618588148617,5.638973773734103,0.9686250384497078,0.9999231005844356,72.222549484635,97.77010248444896
GSPT2,5.097765680823349,5.515151413026766,0.9999231005844356,0.9998462011688711,99.68658267000349,96.99591444470643
GC,3.184837891606988,5.457129993052525,0.9958474315595202,0.9997693017533067,84.58984284690465,96.63314079755311
KLRA18,3.76900113496428,5.071392662808361,0.998077514610889,0.9996924023377423,89.20003281272417,94.22135325085071
NFIL3,1.6684098332179218,5.050138380422426,0.9706244232543833,0.9996155029221778,72.62226101396732,94.08846278484359
BHLHE40,1.332736524683959,4.965004379258341,0.951784066441095,0.9995386035066134,69.97314240475313,93.55617019164676
LIMK1,3.16446404355729,4.896869634689294,0.995462934481698,0.999461704091049,84.42905335713115,93.13016390300118
MAP1B,2.5741331466572426,4.879128475282073,0.9896185788988003,0.9993848046754845,79.77018854776608,93.01923891864638
BST1,3.0644142653767714,4.846514719382094,0.9950015379883113,0.99930790525992,83.63946502083081,92.81532437845662
SELL,3.4217093188010486,4.801620607542538,0.9973085204552445,0.9992310058443555,86.45922146539382,92.53462803053932
SLC4A4,1.3756993111718652,4.7111540381500046,0.9555521378037527,0.9991541064287911,70.31220277772674,91.96899403987607
TSPYL2,1.9531867438323713,4.618957377283266,0.9788526607197785,0.9990772070132267,74.86970754666336,91.39254280974701
MACROD1,2.0439248194086406,4.53847556419977,0.9806213472777607,0.9990003075976622,75.58580834604837,90.88933759907181
ABCA3,1.401370300983003,4.506614088244894,0.9570132266994771,0.9989234081820978,70.51479707133514,90.69012662076467
PLXNA3,4.019859588547607,4.505539787170947,0.9990003075976622,0.9988465087665334,91.17979641254297,90.68340965108501
PFKFB3,2.1436948670079445,4.50477278395152,0.9829283297446939,0.9987696093509689,76.37318906122,90.67861403326985
JAG2,3.8631809925418343,4.4341139712324855,0.9983851122731467,0.9986927099354045,89.94329600040952,90.23682623826262
CDC23,1.8637932680063014,4.4297049186783255,0.9767763764995386,0.99861581051984,74.164218267854,90.20925903848928
F13A1,3.944203020805374,4.427326148182214,0.9987696093509689,0.9985389111042756,90.58271819267925,90.19438599248319
TUSC1,2.6541073894000045,4.416946785367664,0.9908489695478314,0.9984620116887112,80.40134166396993,90.12948997123735
LRRC32,2.6189403586955455,4.405461557142613,0.9901568748077515,0.9983851122731467,80.12380504398406,90.05767962717063
AFG3L2,1.382138401240665,4.399981131248391,0.9557059366348816,0.9983082128575823,70.36301978609171,90.02341376310729
FKBP5,2.5043314259935308,4.382338117957172,0.9886188864964627,0.9982313134420179,79.2193165169424,89.9131024284093
NUDT9,1.0911592669196812,4.358661686083484,0.9311750230698247,0.9981544140264534,68.066625583677,89.7650676931993
BETA-S,4.533867342402928,4.357922907749033,0.9996155029221778,0.998077514610889,95.23632241982529,89.76044854890834
EID2,1.5295406060398706,4.3521340232266414,0.9645493694247924,0.9980006151953246,71.52631133726747,89.72425407534892
IGFBP3,2.8450660482661068,4.34703108420213,0.9930790525992003,0.99792371577976,81.90837878587321,89.69234841357876
RARRES2,2.9527902306682536,4.346519563843502,0.9943094432482313,0.9978468163641956,82.7585331741094,89.68915017909615
FAM13B,1.5133619678695114,4.295178261454029,0.9639341741002768,0.9977699169486312,71.39863025462189,89.36814335910277
RDX,1.9684737580031824,4.286979262189786,0.9791602583820362,0.9976930175330667,74.99035197292439,89.31687986249379
NRK,4.336960772473084,4.262528946961272,0.9995386035066134,0.9976161181175023,93.68234465210858,89.16400649204829
H6PD,2.3688143361071745,4.244001117162083,0.9865426022762227,0.9975392187019378,78.14982175653856,89.04816292267215
NDRG1,2.2139403301675307,4.234848714028061,0.9847739157182406,0.9974623192863734,76.92756308780456,88.99093835514829
LEPREL2,3.702547178576021,4.231500986069799,0.9977699169486312,0.997385419870809,88.67558118654958,88.97000699080671
ADO,1.362828919993735,4.228298481079754,0.9544755459858505,0.9973085204552445,70.2106302311136,88.94998361985542
FHL1,4.644470560665925,4.222241400780713,0.9996924023377423,0.9972316210396801,96.10919802920618,88.91211227661428
KIF6,3.517434597303575,4.15712685345471,0.9975392187019378,0.9971547216241157,87.21468104530736,88.50498949632589
PXN,1.177309134276304,4.1497079913096035,0.9396339587819132,0.9970778222085512,68.74651645075997,88.45860373604457
GBE1,1.9951060127288995,4.1307450804222805,0.9793909566287297,0.9970009227929868,75.20053252587738,88.34003986176688
DUSP1,1.39285452522895,4.123271951157777,0.9562442325438326,0.9969240233774224,70.44759095321844,88.29331480126103
NDUFA4L2,2.6957473695868392,4.09579970682927,0.991464164872347,0.9968471239618579,80.72996250928534,88.12154709418036
WAC,1.0036749300412326,4.089233011180006,0.9212549984620116,0.9967702245462935,67.37620314332376,88.08048942734823
PIGA,2.0328580617576515,4.066837218860626,0.980159950784374,0.9966933251307291,75.49846999387213,87.94046177438496
GP49A,2.1882789718938627,4.050241208468672,0.9843894186404183,0.9966164257151645,76.7250448058554,87.83669673001417
PIK3IP1,1.400580920826381,4.026673035414451,0.9569363272839126,0.9965395262996001,70.50856731874687,87.68933887321892
CUEDC1,1.5676019648983281,4.00850710170645,0.9666256536450323,0.9964626268840356,71.82668986448576,87.57575802621236
DDIT4,1.5726856610946474,4.002988958000806,0.96693325130729,0.9963857274684712,71.86681016554894,87.54125633496625
TDRD3,1.8373847031800108,3.9769951523261153,0.9759304829283297,0.9963088280529068,73.95580306549695,87.37873243099786
SIDT2,1.0347359392178515,3.9747280488844825,0.9249461704091049,0.9962319286373423,67.6213352266286,87.36455757308573
GPAM,3.0419448130392874,3.9573081097708274,0.9949246385727468,0.9961550292217779,83.46213711654778,87.25564098937829
GM15698,3.795095868465042,3.952050077473331,0.9981544140264534,0.9960781298062135,89.40597127241664,87.2227656210357
HSPB8,3.989440799362235,3.942688011082226,0.9988465087665334,0.996001230390649,90.93973270043946,87.16423015308092
ADPGK,1.5204280006371955,3.931885060447021,0.9642417717625346,0.9959243309750846,71.45439506648596,87.09668568754233
PKD1,2.122542435398109,3.9277189101499057,0.9825438326668717,0.9958474315595202,76.20625502511068,87.07063721202167
VAMP2,1.161493974465862,3.8942773313104224,0.9377883728083667,0.9957705321439557,68.62170392293486,86.86154678425291
POMT1,1.6931469496717284,3.883019439152446,0.9713934174100277,0.9956936327283913,72.81748522116533,86.79115783825293
6720401G13RIK,2.872919729112431,3.8719416997821785,0.9934635496770224,0.9956167333128269,82.12819877867328,86.72189528116022
HSPA9,1.3158710460890628,3.8608895552283875,0.9500153798831129,0.9955398338972624,69.84004080845949,86.65279275332784
COQ2,1.0869601989914637,3.8589483405852847,0.9309443248231314,0.995462934481698,68.03348672900137,86.64065548546542
NCAM1,2.4286370043551853,3.85027726636618,0.9877729929252538,0.9953860350661335,78.62193955583811,86.58644038317047
SMAD4,1.4711972631719128,3.8378455184390745,0.961857889880037,0.9953091356505691,71.06586830713707,86.50871201082091
PATZ1,1.3356716191019293,3.833251189862107,0.9522454629344816,0.9952322362350046,69.99630603750191,86.47998638957918
SSPN,1.475999156053379,3.8204799354113543,0.9621654875422947,0.9951553368194401,71.10376462915119,86.40013528359317
MAP3K3,1.4365418992610568,3.8107025929255345,0.9597047062442325,0.9950784374038757,70.79236973840578,86.33900333965552
MIPEP,1.76130567115622,3.777801866464694,0.9736235004613965,0.9950015379883113,73.35539077657992,86.13329454215467
ULK2,1.7675151701568623,3.7735437558362004,0.9737772992925253,0.9949246385727468,73.4043958625915,86.10667109303249
RNF187,0.9000253685387243,3.7714927199996033,0.9064903106736388,0.9948477391571824,66.55820547942727,86.0938471781539
ATP6V0A1,1.1311260005012143,3.7669189034879795,0.9351737926791757,0.994770839741618,68.3820412422611,86.06524980673368
TMEM198B,1.8477274455496693,3.755747202715971,0.9762380805905875,0.9946939403260535,74.0374275217322,85.99539976452915
ARL4D,2.947158714700737,3.7493929117353058,0.9941556444171025,0.9946170409104891,82.71408950412328,85.95567013855391
VIM,1.7905190848279657,3.7489015226418236,0.9745462934481698,0.9945401414949246,73.58594171950264,85.9525977729742
AGK,1.6027027036475836,3.7041822456749354,0.9681636419563211,0.9944632420793602,72.10370331135148,85.6729945641844
DDX50,1.058055366506701,3.70405094969406,0.927406951707167,0.9943863426637958,67.80537109488667,85.67217364801483
MATR3,1.0259863861408185,3.7038229223989814,0.9243309750845894,0.9943094432482313,67.55228414842428,85.67074792810789
LEPR,2.110047661398868,3.7001431512899976,0.982236235004614,0.9942325438326669,76.1076468323298,85.64774049418973
LGALS3,1.4243321081425115,3.6916216470259045,0.9590126115041526,0.9941556444171025,70.69601061766417,85.59446056442431
B630019K06RIK,3.3752854283672566,3.6861328730988947,0.9970778222085512,0.994078745001538,86.09284621620466,85.5601425050458
EGLN3,3.245976546658312,3.6836377402881317,0.9962319286373423,0.9940018455859736,85.07234635469368,85.54454191425891
