ID,logFC,fdr,pseudo_t,Rank_FC,Rank_t,Normed_FC,Normed_t
FMO3,10.04036599,1.2e-135,134.92081875395237,1,1,100,NA
CYP2A22,5.902179612,1.17e-49,48.93181413825384,0.9999357739242132,0.9999357739242132,78.36467397651212,NA
GPNMB,5.085719281,7.589999999999999e-48,47.11975822410452,0.9996788696210661,0.9998715478484265,74.09604423563346,NA
SLC22A27,5.762982416,1.4e-38,37.85387196432176,0.9998715478484265,0.9998073217726396,77.63692117808189,NA
MMP12,5.623920762,2.73e-37,36.56383735295925,0.9998073217726396,0.9997430956968529,76.90987702230137,NA
PLAC8,2.524077043,5.9500000000000004e-33,32.22548303427145,0.9937700706486834,0.9996788696210661,60.70322914414577,NA
APCS,2.934239708,2.74e-32,31.562249437179613,0.9973025048169557,0.9996146435452794,62.84764753649148,NA
SLC22A26,5.278186686,5.06e-27,26.2958494831602,0.9997430956968529,0.9995504174694926,75.10230511315396,NA
H2-AA,1.735225045,9.9899999999999993e-24,23.000434511774017,0.9736673089274245,0.9994861913937059,56.57894169016735,NA
H2-AB1,1.678113278,1.8399999999999998e-23,22.735182176990467,0.9705844572896596,0.999421965317919,56.28034912184043,NA
VCAM1,3.033284314,2.82e-23,22.549750891680638,0.9980732177263969,0.9993577392421323,63.365473981687394,NA
HMOX1,2.005948479,3.0199999999999995e-23,22.51999305704285,0.9838792549775208,0.9992935131663455,57.994341873186414,NA
APP,2.19177538,3.45e-23,22.462180904926726,0.9882466281310212,0.9992292870905588,58.965884771409506,NA
AKR1B7,4.588187438,2.42e-22,21.616184634019568,0.9995504174694926,0.9991008349389853,71.49484104005042,NA
CD74,1.659836138,2.42e-22,21.616184634019568,0.9696852922286449,0.9991008349389853,56.1847923134813,NA
CTSS,2.130185652,4.78e-22,21.32057210338788,0.9866409762363519,0.9990366088631984,58.643880462453765,NA
LAPTM5,1.602989415,1.23e-20,19.910094888560604,0.9655105973025048,0.9989723827874117,55.887585452038216,NA
PDK4,3.787283522,1.67e-20,19.77728352885242,0.9992935131663455,0.9989081567116249,67.30754357363647,NA
KLF6,2.168041795,4.23e-20,19.373659632624957,0.987732819524727,0.9988439306358381,58.84180049818512,NA
SERPINA7,3.476545066,9.03e-20,19.04431224968649,0.9990366088631984,0.9987797045600514,65.68293627239537,NA
CHPF,2.358055813,3.17e-19,18.49894073778225,0.9915221579961464,0.9987154784842646,59.835234542219105,NA
AI506816,2.769337585,9.67e-19,18.014573525916997,0.9959537572254336,0.9986512524084779,61.985503866008806,NA
IFI27L2B,3.462861467,2.59e-18,17.586700235918748,0.9989723827874117,0.998587026332691,65.61139548169692,NA
PGM2,2.032240054,1.05e-17,16.97881070093006,0.9843288375080282,0.9985228002569043,58.131799866818625,NA
MS4A6B,2.870144303,2.02e-17,16.694648630553377,0.9967244701348748,0.9984585741811175,62.51254301071304,NA
