Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
7SK,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A1BG-AS1,2,2,3,2,4,5,0,0,2,5,0,1,3,5,4,3
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A2M-AS1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A2ML1,152,37,44,72,101,121,178,658,96,63,64,57,40,443,626,907
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,5,5,2,3,6,8,3,6,10,1,3,0,2,11,5,6
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,145,100,58,51,61,106,61,56,178,148,39,39,24,177,73,77
AACS,292,310,139,155,175,195,123,160,414,462,140,148,108,223,151,177
AACSP1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,1,0,0,1,1,1,2,3,2,0,1,0,1,6,2
AAED1,85,27,2,8,19,8,2,34,9,40,17,17,12,69,40,50
AAGAB,82,78,59,72,58,75,51,111,96,131,63,23,14,131,82,98
AAK1,750,441,574,611,582,797,717,992,758,831,500,414,199,1184,1073,1334
AAMDC,264,397,165,207,193,94,43,68,261,592,138,152,56,142,63,100
AAMP,551,519,536,577,786,547,398,492,726,903,421,430,274,789,530,559
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAR2,174,131,131,147,186,175,152,194,198,185,125,114,65,209,186,247
AARD,730,664,443,365,520,377,216,307,664,943,309,256,136,578,239,317
AARS,674,497,489,445,506,939,503,723,938,976,426,476,281,1776,819,930
AARS2,58,46,28,17,37,57,28,48,76,48,24,24,11,65,41,54
