Gene,MDA468_B2_24h_a,MDA468_B2_24h_b,MDA468_B3_24h_a,MDA468_B3_24h_b,MDA468_B6_24h_a,MDA468_B6_24h_b,MDA468_D_24h_a,MDA468_D_24h_b,MDA468_J_24h_a,MDA468_J_24h_b,MDA468_JB2_24h_a,MDA468_JB2_24h_b,MDA468_JB3_24h_a,MDA468_JB3_24h_b,MDA468_JB6_24h_a,MDA468_JB6_24h_b
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A1BG,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0
A1BG-AS1,22,21,15,27,14,20,13,21,47,44,67,119,57,46,47,63
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,2,2,1,2,0,2,0,2,0,1,0,2,0,1,0,0
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,14,3,14,16,20,22,4,10,8,6,10,17,5,6,9,4
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,96,78,87,69,58,71,68,113,77,60,50,57,46,40,25,46
AACS,120,82,53,63,37,49,86,112,103,148,97,115,112,89,50,112
AACSP1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,9,10,9,15,6,7,4,21,2,6,2,0,4,4,3,3
AAED1,19,13,11,17,7,5,8,9,8,10,3,3,7,4,2,7
AAGAB,37,24,48,30,42,51,21,28,16,25,18,32,22,23,14,27
AAK1,137,122,168,257,209,303,117,109,143,203,209,325,232,192,172,282
AAMDC,70,65,26,22,23,30,40,107,120,175,113,185,122,115,79,177
AAMP,423,310,447,707,465,639,234,331,241,332,374,689,368,342,288,464
AANAT,1,4,3,2,4,2,3,3,5,3,2,6,1,2,1,2
AAR2,76,60,105,169,109,146,42,65,60,54,94,168,89,75,56,111
AARD,769,580,218,287,94,134,477,752,203,282,198,341,214,152,103,155
AARS,364,259,347,471,301,384,248,294,210,298,385,681,332,287,163,277
AARS2,54,45,39,59,31,53,36,45,26,36,33,54,43,43,22,37
AARSD1,6,6,3,11,7,4,5,4,8,11,11,11,7,9,7,7
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,2,1,4,3,0,1,3,2,2,1,3,4,2,2,2,5
AASDHPPT,50,52,47,61,44,50,20,43,22,27,29,45,37,17,21,48
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATBC,1,2,0,0,1,0,1,3,0,0,0,0,1,0,0,1
AATF,265,204,375,502,442,481,119,204,130,199,232,345,210,246,164,285
AATK,2,2,1,0,1,0,2,3,0,0,0,1,1,0,0,0
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB015752.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,4,3,10,17,6,8,2,8,8,6,29,29,19,16,11,18
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031661.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031674.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01040607.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABCA10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABCA11P,1,4,4,8,3,3,1,3,2,2,0,3,0,5,0,2
ABCA12,2,3,7,4,0,5,1,1,0,1,0,2,0,1,3,2
ABCA13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA17P,13,4,14,17,13,23,5,9,2,1,1,1,0,0,1,2
ABCA2,47,37,21,23,16,15,20,15,10,15,13,11,16,15,8,15
ABCA3,78,50,20,26,14,23,46,79,57,72,27,34,28,24,8,25
ABCA4,8,4,8,5,12,15,4,4,0,0,1,4,4,6,0,2
ABCA5,2,0,0,1,1,0,0,3,5,4,0,5,5,2,3,3
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,48,43,25,19,16,21,31,29,46,69,80,95,59,71,36,85
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,1,3
ABCB10,12,11,3,8,3,6,10,20,6,8,2,4,4,5,4,5
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
ABCB7,23,10,21,31,18,17,7,21,5,12,5,16,10,11,3,12
ABCB8,75,40,59,87,59,80,32,45,43,51,81,148,73,92,57,73
ABCB9,29,14,11,16,4,7,18,33,20,23,17,41,26,19,20,29
ABCC1,35,37,30,47,50,52,22,44,43,48,31,36,34,36,21,36
ABCC10,90,44,42,53,30,30,46,73,75,125,111,171,83,73,42,87
ABCC11,1,1,1,0,1,0,0,2,0,0,0,0,1,1,1,0
ABCC12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ABCC13,3,0,3,2,0,1,0,0,0,0,2,3,1,1,1,3
ABCC2,1,2,2,2,2,2,2,0,1,2,1,1,1,0,0,2
ABCC3,62,60,48,97,71,83,30,39,52,88,55,74,54,50,27,59
ABCC4,2,5,10,10,8,13,0,3,3,1,2,4,6,3,5,9
ABCC5,58,37,56,87,56,76,22,28,21,25,92,119,74,65,63,88
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,55,44,40,40,37,42,26,47,38,42,79,122,59,83,36,79
ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,49,49,47,76,36,66,39,50,47,79,68,124,61,43,57,85
ABCD4,44,54,51,65,63,67,34,38,37,41,45,76,47,55,48,58
ABCE1,19,8,19,31,27,16,1,12,4,6,9,9,7,6,8,5
ABCF1,482,342,571,714,660,824,289,429,343,387,422,765,424,460,375,604
ABCF2,82,74,95,125,97,133,49,73,49,74,69,104,70,63,41,78
ABCF2P1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,80,56,82,91,101,115,49,57,51,61,88,130,91,107,68,116
ABCG1,7,2,5,7,8,4,6,7,7,14,18,27,19,12,14,22
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG4,2,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,1
ABHD10,25,21,12,21,6,12,18,23,8,20,5,22,18,9,10,27
ABHD11,112,104,71,107,64,64,96,116,80,107,37,81,43,48,23,52
ABHD11-AS1,1,2,0,4,0,2,2,2,1,0,0,2,0,1,0,5
ABHD12,271,230,208,307,211,269,155,262,174,324,265,406,213,251,175,313
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
ABHD14A,24,15,4,10,3,4,17,29,14,19,4,11,5,5,2,8
ABHD14A-ACY1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
ABHD14B,185,108,54,72,41,44,93,175,84,118,62,96,47,55,37,41
ABHD15,6,6,5,4,1,8,8,6,17,14,9,13,11,8,4,6
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,182,130,83,102,86,98,120,190,140,197,129,169,67,85,54,95
ABHD17AP1,0,0,0,0,2,2,5,0,2,4,0,1,2,1,0,1
ABHD17AP3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
ABHD17AP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP6,0,0,0,1,0,0,1,1,0,2,0,2,0,0,0,0
ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,24,28,25,48,26,27,11,12,16,20,24,75,42,31,36,45
ABHD17C,75,59,42,63,38,38,49,80,43,60,30,49,28,22,18,26
ABHD18,10,20,19,28,12,21,13,20,16,25,27,27,17,17,20,32
ABHD2,60,41,57,46,51,66,41,55,30,54,53,69,62,44,30,57
ABHD3,36,34,103,123,135,139,18,22,22,40,135,160,146,143,105,163
ABHD4,95,61,223,285,184,245,20,31,21,28,116,140,141,127,80,122
ABHD5,25,21,26,36,18,15,11,20,10,20,30,58,31,23,20,37
ABHD6,11,14,12,10,6,11,7,11,7,12,12,21,16,11,12,20
ABHD8,138,110,75,107,48,69,86,125,111,143,74,92,58,56,36,56
ABI1,25,13,20,37,32,27,11,12,16,19,18,24,21,27,24,26
ABI1P1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI2,100,79,66,100,68,102,59,86,61,122,70,107,63,67,43,88
ABI3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0
ABL1,65,38,66,87,63,75,45,65,27,31,48,69,47,48,36,49
ABL2,30,43,141,177,172,247,28,42,34,30,71,142,104,91,74,126
ABLIM1,140,126,152,181,115,132,95,137,94,136,116,117,84,86,85,116
ABLIM2,12,14,4,4,4,4,9,14,16,15,12,10,13,9,6,14
ABLIM3,0,0,1,3,0,0,0,2,0,0,1,1,1,0,0,1
ABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,74,67,51,62,45,49,60,62,33,37,34,28,27,23,19,25
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,132,112,81,120,80,106,66,135,75,96,50,95,49,67,44,91
ABRAXAS1,15,5,6,3,3,6,3,3,4,5,7,4,1,3,1,6
ABRAXAS2,9,6,11,19,16,27,2,11,4,8,2,9,9,6,2,7
ABT1,7,4,3,3,6,9,4,5,2,3,1,4,3,5,5,4
ABT1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTB1,14,8,35,44,49,64,4,16,13,16,24,27,25,22,21,32
ABTB2,94,67,87,101,100,121,50,91,157,207,228,395,231,198,124,219
AC000032.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000036.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000041.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000041.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000058.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000061.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.1,1,0,0,2,0,0,4,0,3,5,1,1,1,0,0,1
AC000068.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.3,2,0,0,0,0,0,2,1,2,1,0,2,2,0,0,0
AC000077.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000081.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000089.1,2,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0
AC000095.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000095.2,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0
AC000099.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000123.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000123.2,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
AC000123.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
