Gene,MDA468_D_6h_a,MDA468_JB2_6h_a,MDA468_JB6_6h_a,MDA468_D_6h_b,MDA468_JB2_6h_b,MDA468_JB6_6h_b,MDA468_J_6h_a,MDA468_B2_6h_a,MDA468_B3_6h_a,MDA468_B6_6h_a,MDA468_JB3_6h_a,MDA468_J_6h_b,MDA468_B2_6h_b,MDA468_B3_6h_b,MDA468_B6_6h_b,MDA468_JB3_6h_b
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
7SK,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A1BG,0,0,0,2,0,0,0,1,0,0,1,0,0,4,0,0
A1BG-AS1,37,118,206,75,165,87,84,56,38,35,104,119,31,44,43,85
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,5,1,2,10,2,3,0,3,2,0,5,2,1,3,1,1
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,21,12,20,26,9,6,3,24,14,15,8,9,10,17,15,8
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,141,184,249,394,244,161,151,336,211,187,184,220,209,261,211,147
AACS,157,288,448,295,409,245,172,339,233,228,247,331,187,281,248,168
AACSP1,1,1,0,1,0,0,0,0,2,2,1,1,1,0,2,0
AADAC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AADAT,16,7,24,35,15,9,8,41,25,22,8,18,19,25,17,9
AAED1,18,12,12,31,14,6,10,27,23,17,5,19,25,35,23,3
AAGAB,49,78,93,103,93,40,30,102,49,52,54,69,53,92,49,39
AAK1,267,302,643,497,329,291,205,322,224,168,248,255,225,282,235,235
AAMDC,150,283,408,300,306,207,125,211,146,131,193,284,127,188,114,143
AAMP,381,545,987,748,653,484,293,724,476,477,496,546,462,627,525,400
AANAT,4,1,14,12,11,5,7,6,8,3,8,8,6,7,5,4
AAR2,118,121,201,259,165,121,68,244,149,140,85,131,120,186,144,77
AARD,945,599,897,1427,801,420,432,1159,779,661,532,673,766,1020,905,392
AARS,486,393,1068,664,652,422,276,745,507,578,448,498,420,689,647,282
AARS2,77,60,124,165,68,58,30,140,86,103,46,63,79,114,105,27
AARSD1,14,21,30,27,10,11,12,17,9,13,11,10,15,19,19,5
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,5,4,8,6,10,5,4,5,5,1,9,4,2,3,3,2
AASDHPPT,63,121,158,182,146,83,58,176,91,129,81,130,105,147,90,57
AASS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
AATBC,2,1,1,9,3,0,2,0,0,1,3,1,0,2,3,0
AATF,338,349,595,640,380,290,196,525,385,374,247,319,337,488,414,196
AATK,5,1,0,6,0,1,1,2,2,5,0,2,1,3,2,0
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB015752.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABAT,4,14,33,4,28,16,12,8,6,8,31,22,9,8,6,8
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031661.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01031674.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01040607.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCA10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ABCA11P,2,4,7,8,5,7,2,5,2,4,2,0,3,6,5,4
ABCA12,5,0,2,8,1,3,0,3,2,2,2,2,0,1,2,0
ABCA13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA17P,5,14,8,17,16,1,4,21,10,8,5,8,11,14,17,3
ABCA2,54,46,45,108,74,47,33,110,62,63,47,59,59,82,49,41
ABCA3,107,109,151,228,128,78,77,156,100,105,69,110,102,153,134,69
ABCA4,17,6,13,34,10,10,10,28,26,8,8,10,22,21,15,4
ABCA5,1,7,15,8,4,4,1,6,3,6,9,7,3,0,1,2
ABCA6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCA7,68,123,177,144,140,100,70,111,78,70,114,112,64,98,78,102
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
ABCB10,26,30,43,93,49,20,32,81,35,41,43,51,42,72,36,21
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,1,1,1,1,2,2,1,0,2,0,0,1,0,0,0
ABCB7,18,24,63,74,48,25,15,55,35,51,27,14,39,60,41,14
ABCB8,67,49,120,89,102,65,47,127,65,95,89,75,56,110,107,68
ABCB9,35,50,124,67,104,52,39,53,35,30,70,63,33,38,45,35
ABCC1,58,59,125,123,95,48,44,137,58,47,44,50,62,86,66,39
ABCC10,116,158,273,212,213,128,99,159,111,89,158,179,118,167,119,100
ABCC11,0,2,1,1,1,2,0,0,0,0,0,1,0,2,1,0
ABCC12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,2,1,1,0,0,1,0,1,2,1,0,1,0,1,1,1
ABCC2,4,8,10,4,2,1,2,6,4,4,1,2,3,0,3,1
ABCC3,82,68,167,172,92,78,54,156,79,93,62,103,118,147,109,49
ABCC4,4,6,5,9,8,4,5,16,5,6,2,3,8,8,4,6
ABCC5,54,114,213,133,144,77,48,130,72,81,109,117,61,130,72,55
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0
ABCC6P1,2,3,3,2,0,0,1,2,4,1,0,1,0,0,1,1
ABCC6P2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
ABCC8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,56,71,174,127,109,63,37,80,64,63,94,79,45,89,63,55
ABCD1P2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,111,172,315,258,243,162,131,225,106,104,144,173,110,164,129,98
ABCD4,87,69,150,177,109,95,64,143,91,95,73,93,77,112,94,65
ABCE1,15,16,31,44,23,15,7,33,18,24,19,16,21,32,24,12
ABCF1,646,721,1694,1326,993,632,416,1018,673,717,610,598,617,918,749,498
ABCF2,121,98,197,230,132,94,61,205,127,126,88,88,106,187,124,70
ABCF2P1,0,2,0,1,1,0,1,1,2,0,0,1,0,1,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,103,133,289,162,181,159,84,179,119,133,112,138,101,161,137,123
ABCG1,9,38,63,27,33,24,28,16,19,14,39,27,14,16,18,17
ABCG2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCG4,1,7,3,3,5,1,2,0,1,1,1,2,1,3,3,3
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,1,0,1,1,1,0,1,1,4,0,1,0,2,1,0,2
ABHD10,36,53,75,95,91,33,41,87,66,34,46,40,48,80,46,21
ABHD11,149,136,270,317,218,121,118,281,188,167,123,174,201,227,190,110
ABHD11-AS1,3,2,1,4,5,0,2,9,1,3,2,3,7,2,1,0
ABHD12,448,525,937,691,693,466,311,664,428,397,491,558,361,515,449,314
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,0,1,2,3,0,0,0,2,1,1,1,1,1,2,0,0
ABHD14A,35,38,38,72,41,25,8,50,48,35,24,33,41,43,24,24
ABHD14A-ACY1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,217,217,349,377,271,159,172,336,229,175,227,298,214,284,186,122
